year,Cement,Flaring,Oil,Coal,Gas
1950,65952000,84272000,1549872000,3920480000,355408000
1951,73280000,87936000,1755056000,4136656000,421360000
1952,80608000,95264000,1846656000,4100016000,454336000
1953,87936000,98928000,1952912000,4122000000,479984000
1954,98928000,98928000,2040848000,4089024000,505632000
1955,109920000,113584000,2290000000,4426112000,549600000
1956,117248000,117248000,2487856000,4664272000,589904000
1957,124576000,128240000,2616096000,4796176000,652192000
1958,131904000,128240000,2678384000,4895104000,703488000
1959,146560000,131904000,2890896000,5063648000,754784000
1960,157552000,142896000,3110736000,5166240000,831728000
1961,164880000,153888000,3312256000,4942736000,879360000
1962,179536000,161216000,3590720000,4950064000,963632000
1963,186864000,172208000,3854528000,5114944000,1047904000
1964,208848000,186864000,4165968000,5257840000,1157824000
1965,216176000,201520000,4466416000,5349440000,1234768000
1966,230832000,219840000,4847472000,5415392000,1333696000
1967,238160000,241824000,5213872000,5305472000,1436288000
1968,256480000,267472000,5682864000,5305472000,1553536000
1969,271136000,293120000,6129872000,5444704000,1711088000
1970,285792000,318768000,6738096000,5701184000,1806352000
1971,307776000,322432000,7133808000,5712176000,1941920000
1972,326096000,348080000,7536848000,5774464000,2051840000
1973,348080000,403040000,8211024000,5792784000,2154432000
1974,351744000,392048000,8225680000,5785456000,2187408000
1975,348080000,337088000,7811648000,6129872000,2213056000
1976,377392000,395712000,8478496000,6265440000,2308320000
1977,395712000,381056000,8786272000,6433984000,2381600000
1978,425024000,388384000,8764288000,6521920000,2491520000
1979,436016000,359072000,9321216000,6870000000,2641744000
1980,439680000,315104000,8874208000,7089840000,2700368000
1981,443344000,238160000,8386896000,6990912000,2766320000
1982,443344000,234496000,8046144000,7240064000,2704032000
1983,458000000,212512000,7972864000,7243728000,2707696000
1984,468992000,186864000,8057136000,7599136000,2956848000
1985,479984000,179536000,8009504000,8119424000,3059440000
1986,501968000,168544000,8401552000,8342928000,3041120000
1987,523952000,161216000,8449184000,8570096000,3268288000
1988,556928000,183200000,8837568000,8745968000,3425840000
1989,571584000,150224000,9009776000,8896192000,3598048000
1990,575248000,146560000,9130688000,8643376000,3759264000
1991,589904000,164880000,9530064000,8368576000,3850864000
1992,611888000,131904000,9156336000,8390560000,3975440000
1993,644864000,135568000,9214960000,8152400000,4092688000
1994,681504000,142896000,9302896000,8346592000,4151312000
1995,721808000,142896000,9379840000,8643376000,4217264000
1996,743792000,146560000,9621664000,8727648000,4389472000
1997,765776000,146560000,9896464000,8826576000,4385808000
1998,765776000,131904000,10123632000,8584752000,4484736000
1999,795088000,128240000,10043024000,8463840000,4609312000
2000,828064000,168544000,10424080000,8526128000,4722896000
2001,868368000,172208000,10435072000,8958480000,4821824000
2002,923328000,179536000,10376448000,9225952000,4917088000
2003,1011264000,175872000,10838112000,9874480000,5118608000
2004,1091872000,197856000,11149552000,10647584000,5287152000
2005,1172480000,219840000,11241152000,11387712000,5441040000
2006,1304384000,227168000,11325424000,12065552000,5620576000
2007,1399648000,241824000,11252144000,12538208000,5723168000
2008,1421632000,252816000,11369392000,13142768000,5972320000
2009,1520560000,241824000,11145888000,13153760000,5803776000
2010,1634144000,245488000,11384048000,13967168000,6214144000
2011,1810016000,234496000,11482976000,14857520000,6433984000
2012,1901616000,238160000,11724800000,15044384000,6532912000
2013,2029856000,249152000,11798080000,15117664000,6617184000
2014,2081152000,249152000,12017920000,15084688000,6679472000
2015,1440812834,249152000,12239725724,14705196082,6827860096
2016,1463847305,249152000,12462777101,14474942387,7024380646
2017,1477094561,249152000,12639227448,14574317358,7213470278