industry,rep_units,jobs,wages,avg_wage,id
Total,9835104,143859855,7968335657947,55390,0
Management of Companies and Enterprises,64772,2278042,273101961229,119885,1
Finance and Insurance,485848,5943525,630485156334,106079,2
Information,168264,2936973,300330887175,102259,3
Mining,32485,624170,63734728292,102111,4
Utilities,26653,815038,78392368443,96182,5
"Professional, Scientific, Technical",1185956,9104545,851609320279,93537,6
Wholesale Trade,612398,5899022,447748942160,75902,7
Manufacturing,346834,12456203,833298178655,66898,8
Public Administration,134707,7328955,463465700744,63238,9
Construction,791149,7098128,429536477005,60514,10
Real Estate and Rental and Leasing,387512,2222017,126308654510,56844,11
Unallocated,209255,219933,12288291545,55873,12
Transportation & Warehousing,275447,5912604,314441318870,53182,13
Health Care and Social Services,1547220,21298502,1068592274674,50172,14
Educational Services,191314,12533043,619371700970,49419,15
"Admin, Support, Waste",538066,9151821,363305749353,39698,16
Other Services (Except Public Administration),842290,4474193,167269791138,37385,17
"Arts, Entertainment, and Recreation",147553,2678893,99057174771,36977,18
"Agriculture, Forestry, Fishing and Hunting",104721,1267690,43816768720,34564,19
Retail Trade,1043846,15914911,496857728775,31220,20
Accommodation and Food Services,698827,13701645,285322484305,20824,21